ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Genre,Price,Items in Stock
565,Rules of the Wild,Francesca Marciano,1998,Random House Inc,Fantasy,18,7
566,Three Junes,JULIA GLASS,2003,Anchor,Young Adult,56,9
567,Back Roads,Tawni O'Dell,2001,Signet Book,Mystery,45,8
568,In Her Shoes : A Novel,Jennifer Weiner,2002,Atria Books,Biography,26,1
569,The Kiss,Danielle Steel,2001,Delacorte Press,Science Fiction,29,1
570,Home Spun: A Collection,Leon Hale,1997,Winedale Publishing,Thriller,14,10
571,Sweet Hereafter Movie Tie-In : A Novel,Russell Banks,1992,Perennial,Biography,50,3
572,The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge,1992,Dover Publications,Biography,12,5
573,11th Hour,Bradley Warshauer,2003,Pinnacle Books,Science Fiction,38,8
574,In Country RI,Bobbie Ann Mason,1986,Perennial,Science Fiction,51,5
575,Brazen Virtue,Nora Roberts,1996,Bantam Books,Science Fiction,30,1
576,Ghost Moon,Karen Robards,2001,Dell Publishing Company,Young Adult,57,7
577,Brewing Up a Storm: A John Thatcher Mystery,Emma Lathen,1996,St Martins Pr,Historical Fiction,18,3
578,Strangers,Dean R. Koontz,2002,Berkley Publishing Group,Fantasy,20,4
579,Milk and Honey (Peter Decker/Rina Lazarus Novels),Faye Kellerman,2002,Avon,Mystery,28,9
580,The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,1999,Penguin Books,Horror,21,8
581,Night Tales,Nora Roberts,2000,Silhouette,Horror,27,9
582,A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY,1992,Ballantine Books,Historical Fiction,49,4
583,Chopping Spree,DIANE MOTT DAVIDSON,2002,Bantam,Thriller,40,5
584,Four Blondes,Candace Bushnell,2001,Grove Press,Biography,60,5
585,River's End,Nora Roberts,2003,Jove Books,Mystery,16,9
586,Summer Island,KRISTIN HANNAH,2002,Ballantine Books,Self-help,19,6
587,The Straw Men,Michael Marshall,2002,Jove Books,Historical Fiction,21,1
588,The Doctor the Patient: The Personal Journey of a Physician With Cancer,Allen Widome,1989,Editech Pr,Romance,35,8
589,The Street Lawyer,John Grisham,1998,Doubleday Books,Science Fiction,27,10
590,The Chamber,John Grisham,1994,Doubleday Books,Mystery,28,9
591,Warlock : A Novel of Ancient Egypt,Wilbur Smith,2002,St. Martin's Paperbacks,Romance,25,4
592,The Teacher from the Black Lagoon,Mike Thaler,1989,Scholastic,Young Adult,37,5
593,The Partner,John Grisham,1997,Doubleday Books,Thriller,35,2
594,Primal Scream,Michael Slade,1998,Signet Book,Horror,40,5
595,Chosen Prey,John Sandford,2004,Berkley Publishing Group,Fantasy,59,9
596,Guilty as Sin,TAMI HOAG,1997,Bantam,Romance,26,4
597,Night Sins,TAMI HOAG,1995,Bantam,Science Fiction,17,4
598,The Second Time Around : A Novel,Mary Higgins Clark,2004,Pocket,Romance,21,8
599,Three,Ted Dekker,2003,WestBow Press,Thriller,22,7
600,The Canopy,Angela Elwell Hunt,2003,WestBow Press,Horror,41,1
601,Blink,Ted Dekker,2003,WestBow Press,Self-help,44,7
602,Last Battle,C. S. Lewis,1988,Scholastic Paperbacks (Mm),Biography,18,6
603,Prince Caspian,C. S. Lewis,1970,MacMillan Publishing Company.,Self-help,52,5
604,Robert's Rules of Order,William Eisner,1986,Bantam Books,Historical Fiction,29,1
605,Abduction,Robin Cook,2000,Berkley Publishing Group,Horror,39,7
606,And Never Let Her Go : Thomas Capano: The Deadly Seducer,Ann Rule,2000,Pocket,Thriller,20,5
607,Not a Day Goes By : A Novel,E. LYNN HARRIS,2001,Anchor,Fantasy,50,6
608,Sun Signs,Linda Goodman,1981,Bantam Doubleday Dell,Young Adult,21,2
609,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books,Young Adult,29,7
610,The Mummy or Ramses the Damned,Anne Rice,1991,Ballantine Books,Science Fiction,27,10
611,HIS LITTLE WOMEN : HIS LITTLE WOMEN,Judith Rossner,1991,Pocket,Historical Fiction,26,6
612,Her Mother's Daughter,Marilyn French,1990,Ballantine Books,Romance,49,7
613,Your Erroneous Zones,Wayne W. Dyer,1976,Harpercollins,Young Adult,13,8
614,The Night Listener,Armistead Maupin,2000,HarperCollins Publishers,Young Adult,39,7
615,Organizing from the Inside Out,Julie Morgenstern,1998,Henry Holt &amp; Company,Young Adult,25,10
616,The Hellfire Club,Peter Straub,1996,Random House Inc,Fantasy,45,2
617,"The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate",Jack,1993,Hyperion Books,Romance,15,3
618,Vanished,Danielle Steel,1993,Delacorte Press,Romance,41,4
619,The Women in His Life (G K Hall Large Print Book Series),Barbara Taylor Bradford,1991,Thorndike Pr,Thriller,34,10
620,The Morning After,Lisa Jackson,2004,Zebra Books,Science Fiction,33,6
621,Missing Susan,SHARYN MCCRUMB,1992,Ballantine Books,Science Fiction,41,5
622,Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books,Science Fiction,10,1
623,Kitchen Privileges : A Memoir,Mary Higgins Clark,2002,Simon &amp; Schuster,Young Adult,58,1
624,We Are Our Mothers' Daughters,Cokie Roberts,2000,Perennial,Fantasy,49,10
625,Horus's Horrible Day (First Graders from Mars),Shana Corey,2001,Scholastic,Young Adult,26,8
626,My Garden (Beginning Literacy),Jesse S. Ostrow,1994,Scholastic,Mystery,15,3
627,101 Dalmatians,Justine Korman,1996,Golden Books Publishing Company,Young Adult,33,5
628,In the Dinosaur's Paw (Kids of the Polk Street School),PATRICIA REILLY GIFF,1987,Yearling,Horror,16,9
629,Ralph S. Mouse,Beverly Cleary,2000,Scholastic,Romance,41,1
630,"The First Journey (Animorphs. Alternamorphs, 1)",K. A. Applegate,1999,Apple Signature (Scholastic),Science Fiction,15,6
631,How Do Dinosaurs Learn to Read,Jane Yolen,2003,"Scholastic, Inc.",Horror,11,5
632,My First Book about Space (Golden Look-Look Books (Paperback)),Dinah L. Moche,1997,Golden Books,Mystery,43,10
633,You Be the Jury #02,Marvin Miller,1989,Scholastic,Historical Fiction,40,10
634,Comic Characters,Craig Boldman,1983,Golden Books,Science Fiction,47,8
635,The Time Machine (Troll Illustrated Classics),H. G. Wells,1992,Troll Communications Llc,Horror,44,7
636,I Like School (in My World Series),Bobbie Kalman,1985,Crabtree Publishing Company,Young Adult,25,6
637,Sacred Ground,Mercedes Lackey,1995,Tor Books,Biography,60,8
638,Burning Water (Burning Water),Mercedes Lackey,1992,Tor Books,Self-help,45,3
639,The Tightrope Walker,Dorothy Gilman,1997,Fawcett Books,Historical Fiction,49,1
640,MoveOn's 50 Ways to Love Your Country: How to Find Your Political Voice and Become a Catalyst for Change,Moveon,2004,Inner Ocean Publishing,Young Adult,10,8
641,Children of the Night,Mercedes Lackey,1990,Tor Books,Biography,16,6
642,Rainbow the Stormy Life of Judy Garland,Christopher Finch,0,Ballantine Books,Self-help,23,9
643,Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,2003,Vintage,Young Adult,34,6
644,A Fountain Filled With Blood (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2004,St. Martin's Paperbacks,Self-help,25,1
645,Out of the Deep I Cry : A Clare Fergusson/Russ Van Alstyne Mystery,Julia Spencer-Fleming,2004,St. Martin's Minotaur,Historical Fiction,11,10
646,Daisy Fay and the Miracle Man,Fannie Flagg,1992,Warner Books,Young Adult,21,9
647,Little House On the Prairie,Laura Ingall Wilder,0,Scholastic Inc,Fantasy,12,7
648,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner,Young Adult,48,6
649,The Next Accident,LISA GARDNER,2002,Bantam,Thriller,25,8
650,Socks (Cleary Reissue),Beverly Cleary,1990,HarperTrophy,Young Adult,39,5
651,"The Pet Shop Mystery (Boxcar Children Special (Paper), No 7)",Gertrude Chandler Warner,1996,Albert Whitman &amp; Company,Romance,38,4
652,In the Bleak Midwinter (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2003,St. Martin's Minotaur,Young Adult,53,1
653,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2001,Del Rey,Self-help,24,10
654,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,1998,Del Rey,Young Adult,21,1
655,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1998,Knopf Books for Young Readers,Horror,21,10
656,Eyeshot,Lynn S. Hightower,1997,Harper Mass Market Paperbacks (Mm),Fantasy,60,2
657,"If Ever I Return, Pretty Peggy-O",Sharyn McCrumb,1991,Fawcett Books,Science Fiction,38,4
658,The Rosewood Casket,Sharyn McCrumb,1997,Signet Book,Historical Fiction,21,7
659,The Amazing Mrs. Pollifax,Dorothy Gilman,1992,Fawcett Books,Romance,27,5
660,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial,Self-help,33,5
661,The Unsung Hero,Suzanne Brockmann,2000,Ivy Books,Biography,30,2
662,"Two Princesses of Bamarre, The",Gail Carson Levine,2004,Eos,Thriller,10,3
663,Ella Enchanted (rack),Gail Carson Levine,2004,Avon,Young Adult,23,2
664,Passing for Thin : Losing Half My Weight and Finding My Self,FRANCES KUFFEL,2004,Broadway,Thriller,40,5
665,Bloodlines (Dog Lover's Mysteries),Susan Conant,1994,Bantam Books,Self-help,13,3
666,Kissing in Manhattan,DAVID SCHICKLER,2002,Delta,Historical Fiction,58,2
667,Echoes,Maeve Binchy,1989,Dell,Mystery,22,3
668,Someone to Watch Over Me : A Novel,Judith McNaught,2003,Pocket,Romance,51,5
669,The Toynbee Convector,Ray Bradbury,1989,Spectra Books,Self-help,39,9
670,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,Thriller,47,5
671,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial,Young Adult,11,3
672,A polar bear called Pingo,Ilona Koidahl,1974,Childrens Press,Horror,18,8
673,Dark Lady,Richard North Patterson,1999,Alfred A. Knopf,Self-help,42,4
674,The Future Scrolls,Fern Michaels,2003,Zebra Books,Biography,27,8
675,About Face,Fern Michaels,2003,Zebra Books,Thriller,23,1
676,Tarot Says Beware (A Herculeah Jones Mystery),Betsy Byars,1995,Viking Books,Young Adult,45,4
677,Globalhead,Bruce Sterling,1994,Spectra Books,Romance,30,3
678,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books,Romance,47,10
679,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,Warner Books,Thriller,45,9
680,The River King,Alice Hoffman,2001,Berkley Publishing Group,Historical Fiction,58,5
681,Final Appeal,Lisa Scottoline,1994,HarperTorch,Horror,50,7
682,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper),Young Adult,10,6
683,Atonement,Ian McEwan,2002,Nan A. Talese,Thriller,22,2
684,Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,1987,Harpercollins,Mystery,28,1
685,Someone to Watch Over Me : Stories,Richard Bausch,2000,Perennial,Mystery,16,10
686,Stately Pursuits,Katie Fforde,1999,Griffin Trade Paperback,Biography,58,4
687,The Pinball Effect: How Renaissance Water Gardens Made the Carburetor Possible-And Other Journeys Through Knowledge (Pinball Effect),James Burke,1996,Little Brown &amp; Co,Young Adult,49,2
688,"My Father, Dancing (Harvest Book)",Bliss Broyard,2000,Harvest Books,Historical Fiction,59,4
689,Women on the Case,Sara Paretsky,1996,Bantam Dell Pub Group,Thriller,39,7
690,New Cardiff,Charles Webb,2002,Washington Square Press,Young Adult,12,10
691,Almost: A Novel,Elizabeth Benedict,2002,Mariner Books,Mystery,40,7
692,A Tally of Types: With Additions by Several Hands ; And With a New Introduction by Mike Parker,Stanley Morison,1999,David R. Godine Publisher,Fantasy,12,1
693,Stand Still Like the Hummingbird,Henry Miller,1962,New Directions Publishing Corporation,Thriller,57,8
694,Crossing the Unknown Sea: Work As a Pilgrimage of Identity,David Whyte,2002,Riverhead Books,Biography,30,1
695,The Future of Leadership: Today's Top Leadership Thinkers Speak to Tomorrow's Leaders,Warren  Bennis,2001,Jossey-Bass,Horror,38,2
696,"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic",Martha Beck,2000,Berkley Publishing Group,Science Fiction,52,9
697,No Future Without Forgiveness,Desmond Mpilo Tutu,2000,Image,Fantasy,37,2
698,"A Call to Conscience : The Landmark Speeches of Dr. Martin Luther King, Jr.",Kris Shepard,2001,Warner Books,Mystery,27,8
699,On the Road (Penguin 20th Century Classics),Jack Kerouac,1998,Penguin USA (Paper),Fantasy,18,10
700,I And Thou,Martin Buber,1971,Free Press,Self-help,40,2
701,The Prince (Dover Thrift Editions),NiccolÃ² Machiavelli,1992,Dover Publications,Romance,47,7
702,"Sarajevo, maybe (Anni Novanta/Feltrinelli)",Gianfranco Bettin,1994,Feltrinelli,Historical Fiction,46,2
703,Becoming a Man : Half a Life Story,Paul Monette,1993,HarperSanFrancisco,Historical Fiction,42,10
704,OLD MAN AND THE SEA,Ernest Hemingway,1995,Scribner,Historical Fiction,36,7
705,Diary of a Teenage Girl - Becoming Me : Diary Number 1 (Diary of a Teenage Girl),Melody Carlson,2000,Multnomah,Fantasy,53,8
706,The Dominant Blonde,Alisa Kwitney,2002,Avon Trade,Romance,12,7
707,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,Self-help,40,10
708,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books,Self-help,50,8
709,Rena's Promise: A Story of Sisters in Auschwitz,Rena Kornreich Gelissen,1996,Beacon Press,Biography,49,1
710,America the Beautiful: A Novel,Moon Unit Zappa,2001,Touchstone,Biography,34,2
711,Easy Travel to Other Planets,Ted Mooney,1982,Ballantine Books,Thriller,52,3
712,The Mist and the Magic (Harper Monogram),Susan Wiggs,1993,Harper Mass Market Paperbacks,Thriller,33,8
713,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books,Mystery,26,8
714,The True and Outstanding Adventures of the Hunt Sisters: A Novel,Elisabeth Robinson,2004,"Little, Brown",Young Adult,27,3
715,The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage Publishing,Biography,26,1
716,Strange Fits of Passion: A Novel,Anita Shreve,1999,Harvest Books,Fantasy,16,10
717,The Monk Downstairs: A Novel,Tim Farrington,2002,HarperSanFrancisco,Fantasy,58,9
718,Lost in Place: Growing Up Absurd in Suburbia,Mark Salzman,1996,Vintage Books USA,Mystery,31,8
719,My Name Is Asher Lev,Chaim Potok,1996,Ballantine Books,Self-help,42,7
720,Waking the Dead,Scott Spencer,2000,Berkley Publishing Group,Fantasy,34,10
721,Davita's Harp,Chaim Potok,1990,Fawcett Books,Young Adult,38,8
722,The Book of Lights,Chaim Potok,1997,Fawcett Books,Mystery,36,7
723,The Mimic Men,V. S. Naipaul,1992,Penguin USA,Historical Fiction,17,10
724,The Mystic Masseur,V.S. Naipaul,1993,Penguin USA,Self-help,54,9
725,Regain,Jean Giono,1987,LGF,Historical Fiction,41,9
726,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc,Young Adult,23,6
727,A l'Ouest rien de nouveau,Erich Maria Remarque,1973,LGF,Thriller,53,6
728,Pourquoi j'ai mangÃ?Â© mon pÃ?Â¨re,Lewis,2000,Pocket,Mystery,38,5
729,Ravage,Rene Barjavel,0,Gallimard French,Thriller,55,8
730,Voyage d'une parisienne Ã?Â  Lhassa,Alexandra David-NÃ?Â©el,1989,Pocket,Fantasy,45,9
731,Les Fleurs Du Mal,C. Baudelaire,1972,Livre De Poche French,Horror,42,6
732,Chroniques martiennes,Ray Bradbury,2002,Gallimard,Self-help,60,8
733,Le Diable Au Corps,Raymond Radiguet,0,Presses Pocket French,Science Fiction,39,1
734,La Faute de l'abbÃ?Â© Mouret,Emile Zola,1991,Gallimard,Historical Fiction,57,5
735,L'Homme Qui Plantait Des Arbres,Jean Giono,2002,Distribooks Inc,Thriller,20,5
736,La Guerre Des Boutons,Pergaud,0,Livre de Poche,Romance,45,3
737,Paroles de Poilus : Lettres et carnets du front 1914-1918,Collectif,2001,J'ai lu,Mystery,32,4
738,Une porte sur l'Ã?Â©tÃ?Â©,Robert A. Heinlein,1999,J'ai lu,Historical Fiction,27,10
739,Die Entdeckung der Langsamkeit.,Sten Nadolny,1987,Piper,Historical Fiction,30,6
740,Die Grenzen des Geschlechts: Anleitungen zum Sturz des internationalen Patriarchats : Amnesty for Women (Rororo Sachbuch),Cheryl Benard,1984,Rowohlt,Mystery,18,10
741,Frauen der Welt: Vom Fortschritt der Ungleichheit,Christa Wichterich,1995,Lamuv,Science Fiction,47,10
742,I Ging. Das Buch der Wandlung. Das groÃ?Â?e Weisheits- und Orakelbuch der alten Chinesen.,John. Blofeld,1999,O. W. Barth Bei Scherz,Young Adult,30,1
743,African Women: Their Struggle for Economic Independence,Christine Obbo,1980,Palgrave-Macmillan,Romance,49,10
744,Die globalisierte Frau: Berichte aus der Zukunft der Ungleichheit (Frauen aktuell),Christa Wichterich,1998,Rowohlt,Self-help,45,7
745,"Women are the Niggers of the World: Ã¼ber Frauen, Herrenmenschen und Nietzsches Peitsche (AtV Dokument und Essay)",Peter B Heim,1994,Aufbau Taschenbuch Verlag,Science Fiction,25,2
746,Sense and Sensibility (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd,Science Fiction,41,10
747,Der gemietete Mann.,Hera Lind,1999,"Fischer (Tb.), Frankfurt",Mystery,47,6
748,Der Gott der kleinen Dinge.,Arundhati Roy,1999,btb,Young Adult,43,10
749,The Da Vinci Code,Dan Brown,2003,Doubleday,Fantasy,28,5
750,The Rescue,Nicholas Sparks,2000,Warner Books,Mystery,22,6
751,A Map of the World,Jane Hamilton,1999,Doubleday Books,Horror,12,5
752,Edge of Danger,Jack Higgins,2001,Putnam Publishing Group,Young Adult,14,10
753,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books,Self-help,41,3
754,Vinegar Hill (Oprah's Book Club (Hardcover)),A. Manette Ansay,1999,HarperCollins,Romance,48,1
755,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown",Romance,11,5
756,Saving Private Ryan: A Novel,Max Allan Collins,1998,Signet Book,Romance,11,3
757,Big Trouble,Dave Barry,2002,Berkley Publishing Group,Young Adult,20,5
758,Snow Falling on Cedars,David Guterson,1994,Harcourt,Thriller,51,10
759,Skipping Christmas,JOHN GRISHAM,2001,Doubleday,Historical Fiction,58,3
760,The Reader,Bernhard Schlink,1997,Random House,Young Adult,40,8
761,Cheaters,Eric Jerome Dickey,1999,Dutton Books,Horror,33,6
762,Angel Falls,KRISTIN HANNAH,2000,Crown,Young Adult,54,3
763,The Saving Graces : A Novel,Patricia Gaffney,1999,HarperCollins,Self-help,11,1
764,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster,Romance,28,8
765,The Vineyard : A Novel,Barbara Delinsky,2000,Simon &amp; Schuster,Historical Fiction,57,9
766,The Looking Glass : A Novel (The Locket Series),Richard Paul Evans,1999,Simon &amp; Schuster,Thriller,58,5
767,If Only It Were True,Marc Levy,2000,Atria,Thriller,39,1
768,"Dear Stranger, Dearest Friend",Laney Katz Becker,2000,William Morrow &amp; Company,Young Adult,58,5
769,The Cider House Rules: A Novel (Modern Library),John Irving,1999,Modern Library,Thriller,24,7
770,Lolita (Everyman's Library (Cloth)),VLADIMIR NABOKOV,1993,Everyman's Library,Fantasy,26,1
771,Message in a Bottle,Nicholas Sparks,1998,Warner Books,Romance,54,5
772,Blackbird: A Childhood Lost and Found,Jennifer Lauck,2000,Atria,Mystery,36,9
773,Protect and Defend,Richard North Patterson,2000,Random House Inc,Historical Fiction,33,5
774,Blue Heaven (Contemporary American Fiction S.),Joe Keenan,1988,Penguin Books,Horror,35,6
775,Julie and Romeo,Jeanne Ray,2000,Harmony,Science Fiction,42,8
776,The Guardian,Nicholas Sparks,2003,Warner Books,Biography,42,5
777,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books,Thriller,29,5
778,Man and Boy,Tony Parsons,2001,Sourcebooks Landmark,Self-help,55,8
779,One Heart,Jane McCafferty,1999,HarperCollins Publishers,Historical Fiction,41,4
780,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books,Biography,23,3
781,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey,Self-help,27,8
782,All of Me: A Voluptuous Tale,Venise T. Berry,2000,Dutton Books,Young Adult,11,10
783,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company,Science Fiction,37,10
784,The Villa,Nora Roberts,2001,Putnam Publishing Group,Historical Fiction,13,9
785,In This Mountain,Jan Karon,2002,Viking Books,Thriller,49,8
786,"All the Pretty Horses (Border Trilogy, Vol 1)",Cormac McCarthy,1992,Alfred A. Knopf,Thriller,30,3
787,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown",Romance,23,8
788,He Sees You When You're Sleeping : A Novel,Mary Higgins Clark,2001,Scribner,Mystery,39,7
789,2nd Chance,James Patterson,2002,"Little, Brown",Fantasy,52,8
790,The Carousel : A Novel,Richard Paul Evans,2000,Simon &amp; Schuster,Science Fiction,39,9
791,The Promise Remains,Travis Thrasher,2000,Tyndale House Publishers,Historical Fiction,33,2
792,You Cannot Be Serious,John McEnroe,2002,Putnam Publishing Group,Fantasy,36,6
793,LAKE NEWS : A Novel,Barbara Delinsky,1999,Simon &amp; Schuster,Fantasy,47,5
794,Liar's Game,Eric Jerome Dickey,2000,Dutton Books,Horror,13,6
795,Out of the Blue,Sally Mandel,2000,Ballantine Books,Thriller,51,8
796,Voice of the Eagle,Linda Lay Shuler,1993,Signet Book,Thriller,16,7
797,The Kingdom by the Sea: A Journey Around Great Britain,Paul Theroux,1984,Pocket Books,Young Adult,28,9
798,Shattered Uk,Dick Francis,0,Michael Joseph Ltd,Romance,12,10
799,The Proud and the Free,Janet Dailey,1995,Warner Vision,Romance,14,7
800,Shoah,Claude Lanzmann,1985,Random House Inc,Romance,17,7
801,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,Historical Fiction,41,10
802,TERROR FIRMA,Matthew Thomas,2001,Trafalgar Square,Horror,44,7
803,Le Loup-garou,Boris Vian,1999,LGF,Self-help,44,7
804,Chronique d'une mort annoncÃ?Â©e,Gabriel Garcia Marquez,1987,LGF,Fantasy,52,1
805,Le neveu d'AmÃ?Â©rique,Luis SepÃ?Âºlveda,1998,Seuil,Biography,31,7
806,Last Exit to Brooklyn,Hubert Selby,2000,Bloomsbury Pub Ltd,Self-help,50,6
807,More George W. Bushisms: More Verbal Contortions from America's 43rd President,Jacob Weisberg,2002,Simon &amp; Schuster (Trade Division),Romance,40,2
808,Therapy,David Lodge,1996,Penguin Putnam~trade,Romance,17,7
809,Scottish Ghosts,Judy Hamilton,1999,Lomond Books,Self-help,19,9
810,Awful End (Eddie Dickens Trilogy S.),Philip Ardagh,2000,Faber Children's Books,Mystery,41,10
811,The Wasp Factory,Iain Banks,0,Abacus,Self-help,22,5
812,George W. Bushisms : The Slate Book of The Accidental Wit and Wisdom of our 43rd President,Jacob Weisberg,2001,Fireside,Fantasy,17,4
813,The World's Stupidest Laws,David Crombie,2000,Michael O'Mara Books,Science Fiction,23,7
814,"Of Mice and Men (Steinbeck \Essentials\"")""",John Steinbeck,2001,Penguin Books Ltd,Fantasy,60,5
815,The World's Stupidest Signs,Michael O'Mara,2000,Michael O'Mara Books,Mystery,52,5
816,Nessie: The Loch Ness Monster,Richard Brassey,2003,Trafalgar Square Books,Romance,15,6
817,"XIII, tome 13, L'enquÃ?Âªte : the XIII mystery",Jean Van Hamme,1999,Dargaud,Self-help,49,1
818,How Not to Say What You Mean: A Dictionary of Euphemisms (Oxford Paperback Reference S.),R. W. Holder,2003,Oxford University Press,Romance,44,9
819,Cooking for One (Cook's Essentials),Valerie Ferguson,2000,Southwater Publishing,Self-help,27,5
820,Les Fourmis,Bernard Werber,2002,LGF,Fantasy,13,8
821,How to Draw Celtic Knotwork: A Practical Handbook,Andy Sloss,0,Brockhampton Press,Biography,36,10
822,The Sorcerer's Companion: A Guide to the Magical World of Harry Potter,ALLAN ZOLA KRONZEK,2001,Broadway,Romance,60,7
823,Celtic Myths and Legends,Charles L. Squire,2000,Lomond Books,Young Adult,52,1
824,Scottish Folk and Fairy Tales (Penguin Popular Classics),Gordon Jarvie,1997,Penguin Books Ltd,Self-help,56,2
825,Terrible Times (Eddie Dickens Trilogy S.),Philip Ardagh,2002,Faber Children's Books,Romance,58,10
826,CantilÃ¨nes en gelÃ©e ; Barnum's digest ; Vingt poÃ¨mes inÃ©dits (10/18 [i.e. Dix/dix-huit] ; 517),Boris Vian,1978,Union gÃ©nÃ©rale d'Ã©ditions,Young Adult,19,5
827,Glasgow Zen,Alan Spence,2002,Canongate Books Ltd,Thriller,26,10
828,Totally Muffins Cookbook (Totally Cookbooks),Helene Siegel,1995,Celestial Arts,Fantasy,45,9
829,Tigger's Little Book of Diet and Exercise,E.H. Shepard,2002,Egmont Childrens Books,Horror,33,5
830,Eeyore's Little Book of Gloom,Alan Alexander Milne,1999,Routledge,Thriller,50,6
831,The Adventures of Dougal,Eric Thompson,1998,Bloomsbury Publishing PLC,Biography,43,1
832,Amy and Isabelle,Elizabeth Strout,1999,Random House Inc,Self-help,37,5
833,"Rule of the Bone : Novel, A",Russell Banks,1996,Perennial,Mystery,54,7
834,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,Biography,52,1
835,Stone Butch Blues,Leslie Feinberg,1993,Firebrand Books,Horror,32,7
836,stardust,Neil Gaiman,2001,Perennial,Horror,55,3
837,Fires of Aggar,Chris Anne Wolfe,2001,Windstorm Creative,Mystery,14,6
838,Kamikaze Lust,Lauren Sanders,2000,Akashic Books,Thriller,57,1
839,Gossamer Axe,Gael Baudino,1993,New Amer Library,Mystery,12,7
840,Witchfire,Lauren Maddison,2001,Alyson Books,Romance,46,7
841,Seven Moves,Carol Anshaw,1997,Mariner Books,Science Fiction,41,9
842,Return to Isis,Jean Stewart,1992,Rising Tide Press (AZ),Mystery,45,9
843,Hood,Emma Donoghue,1998,Alyson Publications,Fantasy,33,10
844,Leaving Pipe Shop: Memories of Kin,Deborah McDowell,1998,W. W. Norton &amp; Company,Science Fiction,37,2
845,Love Ruins Everything: A Novel,Karen X. Tulchinsky,1998,Press Gang Publishers,Science Fiction,53,3
846,"Skin: Talking About Sex, Class &amp; Literature",Dorothy Allison,1994,Firebrand Books,Thriller,15,9
847,"Death: At Death's Door (Vertigo, Number 1)",Jill Thompson,2003,DC Comics,Historical Fiction,37,4
848,The Second Coming of Curly Red,Jody Seay,1999,Firebrand Books,Mystery,49,1
849,Night Mares,Manda Scott,1999,Crimeline,Biography,36,1
850,Hen's Teeth,Manda Scott,1999,Bantam Books,Self-help,39,9
851,The Door to December,Dean R. Koontz,1994,Signet Book,Young Adult,55,3
852,"No Shirt, No Shoes, No Problem!",Jeff Foxworthy,1997,Warner Books (Mm),Young Adult,56,4
853,The Scions of Shannara (Heritage of Shannara (Paperback)),Terry Brooks,1993,Del Rey Books,Historical Fiction,18,6
854,Star Wars the Rebel Dawn: The Han Solo Trilogy (Star Wars: Han Solo Trilogy (Paperback)),A.C. Crispin,1998,Spectra Books,Science Fiction,33,9
855,"The Hutt Gambit (Star Wars: The Han Solo Trilogy, Vol. 2)",A. C. Crispin,1998,Bantam Books,Mystery,33,6
